,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,DNA-5_Nuc,MLC2v_Nuc,pS6-240_Nuc,p-Src_Nuc,c-Jun_Nuc,CleavedCaspase3_Nuc,pan14-3-3_Nuc,pRb_Nuc,Oct4a_Nuc,B-actin_Nuc,B-tubulin_Nuc,pAKT-S473_Nuc,pS6-235_Nuc,p-mTor_Nuc,NFkB_Nuc,mTor_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,DNA-5_Cyto,MLC2v_Cyto,pS6-240_Cyto,p-Src_Cyto,c-Jun_Cyto,CleavedCaspase3_Cyto,pan14-3-3_Cyto,pRb_Cyto,Oct4a_Cyto,B-actin_Cyto,B-tubulin_Cyto,pAKT-S473_Cyto,pS6-235_Cyto,p-mTor_Cyto,NFkB_Cyto,mTor_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,DNA-5_NC_Ratio,MLC2v_NC_Ratio,pS6-240_NC_Ratio,p-Src_NC_Ratio,c-Jun_NC_Ratio,CleavedCaspase3_NC_Ratio,pan14-3-3_NC_Ratio,pRb_NC_Ratio,Oct4a_NC_Ratio,B-actin_NC_Ratio,B-tubulin_NC_Ratio,pAKT-S473_NC_Ratio,pS6-235_NC_Ratio,p-mTor_NC_Ratio,NFkB_NC_Ratio,mTor_NC_Ratio
212,212,13.428152259706977,12.939974857887456,13.17791712468548,13.180178963203387,14.021109583818868,11.894085681010301,10.527153225540276,9.537634017674405,8.910479116744966,8.17561176735125,9.477090231115806,5.363350951115006,5.911153372837356,5.724512407094205,10.74591093750039,8.371920292227003,6.827299880662184,8.656477937079195,11.177851907931869,8.510305502275006,9.213193836757453,9.353097882143258,9.493364091469251,9.50834729874274,11.133704833106675,10.95635095861044,9.695051109903,8.21898592573506,6.753999116823282,7.1102842904259465,8.60684276638243,3.8484585382354464,4.288055477422388,4.390632125852443,10.138266374772805,7.877145010528143,6.786663927227737,6.486605187766683,10.14037435762567,7.942960583644313,10,2,1.4574915602158829,1.3834961443728917,1.3881187951621041,1.3861692835879231,1.25933907841048,1.0855882333399434,1.0858275120166543,1.1604392687679912,1.3192893517782953,1.1498290973203102,1.1011111145346453,1.3936361527163943,1.3785160672386254,1.3038014215282927,1.0599357464348733,1.062811498460111,1.0059876183453578,1.3345159272842366,1.102311563036724,1.0714273868863127
213,213,13.819876221546552,13.407259129394836,13.656074725660114,13.648108707266756,13.826207225943598,11.743231360534141,11.816251471092873,10.145180902086848,10.452324656187683,7.7387930886340595,9.591736816627717,5.721210966311912,6.247025794529683,6.084128819423831,9.837616271150127,8.350983372460929,10.860042926674314,8.96399114592213,11.786237987642306,8.480472181410109,9.693399140521906,9.706392401460306,9.878349501186438,9.888561754030912,10.08993670905099,12.250611531763331,11.12444566969939,9.157443701348644,7.689453707740701,7.0112558742362845,8.967040013009333,4.356719622330738,4.8028875888946825,5.391379113041421,8.777986087476421,8.508124465926073,10.168290208634543,6.751832753236682,10.935426506541404,7.768864317702486,10,2,1.4256996974131069,1.3812813839442286,1.3824247384666792,1.3801914825180037,1.3702967248090918,0.9585832780744327,1.0621878898000117,1.1078616732956532,1.3593065324869174,1.1037670322475606,1.0696658878194005,1.3131923700087005,1.300681242045756,1.1284921152561298,1.1207144979627484,0.9815304660745768,1.0680303870017753,1.3276382092884316,1.0778032279392082,1.0915974117460283
215,215,13.751617894467412,13.3960550136415,13.616782307520385,13.579640287632037,13.723829620170788,11.671296011774507,11.816226599235653,10.10282035277574,10.212213673474155,7.6265147190938665,9.436719011814038,5.599542535128363,6.184851730506178,5.986694896856702,9.993160067716072,8.19863057306868,10.819814589225741,8.645279443852573,11.642326594870285,8.404012189166242,9.075732480342944,9.159600872522807,9.310458717678234,9.265779576849518,9.480788617192124,11.495299435471106,10.687953490076033,8.59599375897996,6.978807690346107,6.064669818453937,8.380796467449127,3.9277701982438216,4.27140486267129,4.500239423976382,8.491977838415606,7.76134700011308,9.610935352525932,5.792226490331895,10.348079885575682,7.0844416568026825,10,2,1.515207496943297,1.462515146683663,1.46252539433589,1.4655691056541718,1.4475409350741653,1.0153103081212767,1.1055649344102445,1.1752940539564314,1.4633178225559744,1.2575317284194856,1.1259931020239062,1.4256288561973463,1.447966636119396,1.330305864385966,1.1767765128294954,1.0563411960513078,1.1257816427182703,1.4925658480867168,1.1250711942317597,1.1862631660035579
216,216,13.391040726608276,12.9978467409762,13.242657035860312,13.166216985752518,12.300199736887764,12.02209588821399,11.421669720250337,10.229083581084328,9.372377376824788,7.232848867931562,9.654201273874351,5.844399961435276,6.196931374665303,6.027991380322192,10.719514061615792,8.506057021245214,9.43851311655505,8.90298036898892,11.695761589563869,7.878879667061218,9.606365165793394,9.600155766990824,9.79525814590705,9.878965619805511,10.742020467984435,10.653571909970278,10.475836663193231,8.781596751019666,7.156153258022377,6.540742854055525,8.242389780509257,4.1122848622834,4.492594398460672,4.521729739888576,9.686801083690378,7.46572948954067,8.724003330507987,6.738858162487046,10.09749063392236,7.220710936989675,10,2,1.3939758166066243,1.3539204005072498,1.3519456903127924,1.3327525869061303,1.1450545801460101,1.1284568208492554,1.0902871138092753,1.1648318490480205,1.3096948931771302,1.1058145885443125,1.1712866693957618,1.421205037384034,1.3793658685922325,1.333116246896864,1.1066103215089436,1.139347070257772,1.081901594827275,1.321140785919611,1.1582839750573417,1.0911501285420429
217,217,13.606740828773365,13.228934621853751,13.459853506275785,13.482448402430082,13.610267101802476,11.982515745500539,12.306017991878832,10.056920671488912,9.922494665932517,7.6728997997570865,9.255201153849342,5.441135032916244,6.027969411259493,5.953205736088742,11.514063925214186,8.306368576666987,9.7775627342082,8.529827996249939,12.013005381680177,8.223430419341017,9.202423170174471,9.365171008817322,9.502744319359664,9.516351810695195,9.870051973470083,10.398152213632637,11.263316246263138,8.342790491898919,6.9189849724086825,6.000455896131282,7.953889560619231,3.763848708619947,4.246760696990779,4.2168136415952615,9.011506531247745,7.33867799865327,8.801440528843894,5.7577566458212015,9.901016137221344,6.894237361493987,10,2,1.4786041216702046,1.4125673315947664,1.4164175162383794,1.4167664952526753,1.378945839230208,1.1523697190920807,1.0925750216737131,1.2054624506338092,1.4340968661590014,1.278719472749411,1.1636069476841968,1.4456306440944304,1.419427615860452,1.41177823875484,1.2777068834482588,1.1318617029104288,1.1109048231554117,1.4814498981023485,1.2133103527141154,1.192797692935683
218,218,13.703915059300574,13.195637007424615,13.431224537582242,13.437093740197536,13.513109843971778,12.287302439522334,12.600355224064556,10.407223076145025,10.302646135882895,7.934281180774262,10.141308132219502,5.834602559634596,6.360388258846312,6.113423902160382,10.392825816602512,8.980625107208601,11.548743070962946,9.6706710382886,11.713347225243142,8.829459967408754,9.390820568614824,9.358917848002942,9.496178812800963,9.539622628867432,9.776375671824932,11.257199779813039,11.906388432203267,8.900501409007981,7.3813065384064425,6.230313755726754,8.613250280938708,4.136709490617529,4.474577930350102,4.5015490920156225,8.723593582109995,7.787645134764569,10.97760783133618,6.5511687349781695,10.209430862997817,7.0177906162600925,10,2,1.4592883507007466,1.409953289657348,1.4143820164250478,1.4085561099174027,1.382220804271663,1.0915061187380297,1.0582852471018258,1.1692850321457313,1.3957754067353967,1.2734962462333879,1.1774078079052708,1.410445324446413,1.421449879262391,1.3580711388894402,1.1913468593855305,1.1531887947896458,1.052027294871696,1.4761749283993713,1.1473065817699977,1.2581538051236605
220,220,13.610834492038508,13.124301156611171,13.365665501399446,13.366557893977324,13.289405302976995,12.432451859286175,12.369855607260167,10.181023667645007,9.849698577009796,7.899053549934997,10.054585959846571,5.871291819538772,6.297498503942045,6.095312370413888,10.25557535453404,8.853663324143609,10.680653704320092,8.510694279016402,11.391362867714095,8.54406307982315,8.52435282693191,8.491962241196017,8.65998288512613,8.72790262189667,9.207416708361585,10.654720587307557,10.413044231684008,7.980018304587058,6.447232192281628,5.575102517786436,7.853174620259652,3.5122937623210886,3.8636958435042112,3.96246529365924,7.767974767613193,7.252418197497766,8.854553652651044,5.538173659246901,9.792915754667117,6.278547240596905,10,2,1.5967000390969655,1.5454968809143845,1.5433824383597243,1.5314742238809058,1.4433370101418794,1.166849168630132,1.187919241677868,1.2758145757375985,1.5277406309022759,1.416844537788208,1.2803212007928246,1.6716403059801999,1.629915697046814,1.538262651831334,1.3202379849754833,1.220787754241517,1.2062328744399573,1.536733010314038,1.1632248405981833,1.3608344020377017
221,221,13.356217449532359,13.137194004859715,13.36013956568476,13.156233235247765,12.675364535804825,10.679927513502417,10.612255295245925,9.387755523858086,9.193040866489332,6.125191892016934,7.789998820236903,4.661667862172245,5.54301214579281,6.660046856470786,9.168962575603674,6.06420401761352,7.288401747023832,8.257440593881947,10.271360507668758,5.345263043864953,9.02846764529586,8.87495360329252,9.188369589785484,8.563526584051324,8.428120784788424,10.070116512555837,10.146512743918596,7.745868849692405,5.952569331931334,4.854597435915361,7.258441228761098,3.0792990865452805,3.733628483367029,6.379882530366768,7.4433758016519525,6.487558040967051,6.844160674823296,5.7189942470162665,9.239617519773017,5.9765750534374025,10,2,1.479344887112865,1.4802549502890863,1.454027228131631,1.5363101995560893,1.5039372191582825,1.0605564990421157,1.0459017362005953,1.211969335658308,1.5443819893327666,1.261730137848597,1.0732330227280125,1.5138730377120502,1.484618025196245,1.0439137123247177,1.231828517051195,0.9347437016084984,1.064908042535399,1.4438623711136005,1.1116651187874158,0.8943689313816359
222,222,13.520851195843475,13.221084362348448,13.476459289342019,13.463161368660964,13.665182394526653,12.242547558297234,11.542393700138971,10.341747469875449,9.701231497426788,8.037862117062387,10.133015801869753,5.971198868746246,6.52687904001068,6.315054800728077,11.159810237644255,8.906327104716214,9.542544214608698,9.594234876013381,11.856982913282412,8.437861166250912,10.532723754768082,9.988757655822443,10.16141259833802,10.175908538012363,10.392203815470934,12.31249983708464,10.78388386976151,9.215116230570832,7.649454606029741,6.823396745152764,9.244328651771687,4.768327237120963,5.196167499892307,5.138608194908299,10.045196453262358,8.798775096361624,8.98701653892526,7.3170052752743615,10.395132679815395,7.438277087266845,10,2,1.283699402988965,1.3235964689404476,1.3262387644357834,1.3230426863968938,1.3149455723898733,0.9943185965715334,1.070337351508797,1.1222590373377013,1.2682252522656607,1.1779854546450579,1.096133227579241,1.2522628107947467,1.2560948122141853,1.2289426555201242,1.1109598791390392,1.012223520566978,1.0618144712738975,1.3112242666319018,1.1406283381361302,1.1343838186258477
223,223,13.567934136175813,13.275972126759964,13.505103845595956,13.49728573408779,13.702265041159606,11.929618995218618,11.53631414758224,10.229841112724221,9.587262692890521,7.979080330735125,9.981817797451269,5.847053672996856,6.3872942125338685,6.189436920391843,10.828346166118171,8.689737286818492,9.636542422408203,8.89282959884418,11.279926428258975,8.254302836392801,9.204735043837092,9.319463007819646,9.454249223667553,9.458903614478723,9.673085390202996,10.562998519706689,10.224959061387203,8.429462516963902,6.899491203351093,6.1017196482965605,8.060698561805053,3.9682396163377787,4.4651096857572,4.389397735926466,8.713627764306699,7.040471552768822,8.500963852117557,5.225628426841006,9.712454590842944,6.6380657384419,10,2,1.474016804564086,1.424542606759697,1.4284692021644179,1.4269397685189986,1.416535106268927,1.1293780807563607,1.128250399666356,1.2135816598196079,1.389560825620587,1.3076773091275464,1.23833160623935,1.4734628546430881,1.4304898786491291,1.4100879648550337,1.2426909272477662,1.2342550100072571,1.1335823313738451,1.7017722793237462,1.1613878163089553,1.2434801283438732
224,224,13.426376088007679,12.978765783443244,13.259321245510467,13.271135460913598,13.417007668775605,12.269803400705971,12.408571568864307,10.061639597773473,9.21700400081855,7.6653557403199315,9.526059969859274,5.5339507097344285,6.1608125798424185,5.93088902445215,9.108921540257468,8.392118837920282,11.189237619031609,8.900108760239293,11.63980412788738,8.302801726422237,8.792339346509207,8.859751577853846,8.993679813176092,9.05965193214937,9.198609417175293,11.04084559229156,11.228803058068356,8.228984063663463,6.658081578923688,5.731878608938901,7.75846611314695,3.7507298012819286,4.07747835305333,4.118666571960003,7.495134818255168,7.238219596139393,10.022890704282318,6.124695386127237,10.063519392285178,6.599726935901889,10,2,1.5270538998632153,1.4649130587233883,1.4742932282384618,1.4648615156857432,1.4585908652370738,1.1113101164345998,1.105066275069117,1.222707386468571,1.3843332935413695,1.3373199719138784,1.2278277472549741,1.4754330498142065,1.5109369189487,1.4400022242222297,1.2153112333712472,1.1594175510226767,1.1163683162035245,1.4531512506562394,1.1566335467898639,1.2580523114154591
225,225,13.601100857432613,13.27376775056659,13.486095038442507,13.478657598337085,13.648956314114681,11.213625868952107,10.608456034805103,9.491582111077383,9.695868986138613,7.017654997969347,8.670471192471215,4.8560948052104616,5.48068630610322,5.120030427092553,9.341689184275312,7.3313286079875235,6.161382322883235,8.285305763366289,10.312607502866292,6.945485610789472,9.027572281427243,9.212377771901627,9.345009492521466,9.351614929217767,9.505156849048962,10.217935512941393,10.304092986532416,7.86471057610816,6.411317173774433,5.335325099526972,7.688845460365733,3.202989387286247,3.7454081776497983,3.722293910446168,8.674423963541768,7.0484803900212025,6.96145339611287,5.343799834153062,9.068832850885029,6.294261917092345,10,2,1.5066177742397762,1.4408622919321086,1.4431333696594988,1.44131871343686,1.4359527707825597,1.0974453552529897,1.0295380727513324,1.2068571397797423,1.5123053069031862,1.315319098097983,1.1276688076468102,1.5161132985597614,1.4633081485773571,1.3755040709503907,1.0769232889167086,1.040128964303676,0.8850712591602814,1.5504521165657443,1.1371482606893437,1.1034630751428853
226,226,12.818943943412245,12.51740392353431,12.773641338710526,12.809122027074105,10.539768886274,12.041507804109877,12.17798739208467,10.347037757019052,10.517234861432758,6.622931638024148,9.575753605249153,5.822342020231021,6.325527948438697,9.169965867330973,10.412710420977348,7.589418917180279,8.470033800798094,8.831495643577783,11.170349376221518,7.221401345104662,9.280107172770961,9.081324211217806,9.350179428699494,9.376586841526427,9.766247836064407,11.870835809289455,11.32101853906547,9.075808710422587,7.6092555723771,6.777712722434719,9.196781830696887,4.449028674160567,4.880376099638423,9.36117157020266,10.797034762107243,8.057522438104593,7.822860604339451,6.414187119752978,10.049516317428976,7.762741101220372,10,2,1.3813357652834755,1.3783676953270811,1.3661386325382203,1.3660751234495996,1.0792035040676693,1.0143774202223288,1.075697151282109,1.1400678536929272,1.3821634404832086,0.9771632273675107,1.0412069984401868,1.3086771173327105,1.2961148524818287,0.9795745968933728,0.9644046398295668,0.941904782205679,1.082728458193368,1.376869037134966,1.1115310452154468,0.9302643551991441
227,227,12.782249495324251,12.450360563877739,12.700628652596563,12.670302375635258,12.857569939874567,12.072702264482373,9.276444638532556,9.567072770186225,9.716319273027883,7.0420563544678725,8.45117974660967,5.004513924615129,5.696955372241277,5.599829938697224,10.30719378819346,7.714468057504563,6.428631215599281,7.7880929790166835,10.657901833271817,7.1382777133831725,9.094275853478367,9.029546680073274,9.240720485457562,9.225034982553613,10.694180580242277,12.059522580722167,8.914000653001311,8.102453339114275,6.7673900676202186,6.667883655648696,7.830892084468678,3.3133785936360725,3.88492046577854,4.08137098578437,10.023271724190748,7.838990328734013,6.752364402261863,5.667145628414468,9.360465618715704,7.728924884698894,10,2,1.4055269161903983,1.3788466913132682,1.3744197406018261,1.3734693038668508,1.202295944359608,1.0010928860302708,1.0406600806574107,1.1807624641294208,1.4357557604839923,1.0561156610017026,1.079210344804934,1.51039604536203,1.4664278001118884,1.3720462947871501,1.0283262862481797,0.9841150114992474,0.9520563217005675,1.3742531937009013,1.1386080850467486,0.9235796465708914
