,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,DNA-5_Nuc,MLC2v_Nuc,p-c-Jun_Nuc,p-STAT5_Nuc,p-p38_Nuc,p-PKM2_Nuc,pMEK_Nuc,p-p44_42_Nuc,p-STAT1_Nuc,p-Rb_Nuc,c-Myc_Nuc,p-CAMKII_Nuc,pTyr_Nuc,p-STAT3_Nuc,p-SAPK_Nuc,HIF1a_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,DNA-5_Cyto,MLC2v_Cyto,p-c-Jun_Cyto,p-STAT5_Cyto,p-p38_Cyto,p-PKM2_Cyto,pMEK_Cyto,p-p44_42_Cyto,p-STAT1_Cyto,p-Rb_Cyto,c-Myc_Cyto,p-CAMKII_Cyto,pTyr_Cyto,p-STAT3_Cyto,p-SAPK_Cyto,HIF1a_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,DNA-5_NC_Ratio,MLC2v_NC_Ratio,p-c-Jun_NC_Ratio,p-STAT5_NC_Ratio,p-p38_NC_Ratio,p-PKM2_NC_Ratio,pMEK_NC_Ratio,p-p44_NC_Ratio,p-STAT1_NC_Ratio,p-Rb_NC_Ratio,c-Myc_NC_Ratio,p-CAMKII_NC_Ratio,pTyr_NC_Ratio,p-STAT3_NC_Ratio,p-SAPK_NC_Ratio,HIF1a_NC_Ratio
375,375,13.820987636817884,13.572208154305516,13.663879588759535,13.78692438550824,13.867905723699794,12.281331584005306,8.848073544885287,8.093356728840591,7.807507589530492,13.343083706005368,7.877457373866143,5.314383680359704,5.569223056282606,5.881293483586483,6.631994174879368,9.049244728092006,6.05335450772137,6.250462337147363,4.8939637520980765,7.0505787236900614,9.368805344837362,9.587162075275524,9.498972468272038,9.676387318441694,9.755206078430932,11.339857422354,7.021859414351663,6.7349342091172675,6.456581152534278,9.50569129295541,7.001776255618857,4.054299483441412,4.1973729368808375,4.1557428428961565,4.7264189226842985,8.486112861253176,5.543262009369481,4.07631631058867,3.693235048617768,6.0932919223359905,10,2,1.4752134480447794,1.415664828417482,1.4384587000750764,1.424800799285132,1.4215902372746558,1.0830234566966777,1.2600755758227096,1.2016979643074153,1.2092324722761305,1.4036941969590173,1.1250655671187093,1.3108019528564019,1.3268354134910922,1.415220745345201,1.403175275693257,1.0663592243051632,1.0920202756950164,1.5333604806160688,1.3251157014579111,1.1571050285388387
376,376,13.848665660940894,13.677031601923233,13.732268664807146,13.84699184206734,13.900298236677829,11.51056697927912,8.47045340136741,7.898432650563513,7.696377090050273,13.210201603691177,7.926622415281919,4.911612767636304,5.543970382965085,5.897466892768126,6.792719739671121,9.424937891453368,7.1695401430540775,6.64998579979024,5.1241344389686665,6.763655588359318,9.246262441220537,9.472187958699047,9.360754961906162,9.510020797856026,9.513576281874435,10.847949665312493,6.548704090684827,6.436244931253583,6.166554674392347,9.456810646840562,7.052764326704708,3.642990258302832,4.014517734346336,3.962836689506272,4.698380169700977,8.764626460000153,5.731331796983593,4.634981106769856,4.126153679308281,6.547893533645447,10,2,1.4977582292281144,1.4439147176511158,1.4670043944843096,1.456042224974845,1.4611012541268118,1.061082262953839,1.2934549010110514,1.2271802479439111,1.248083816074926,1.3968981823808209,1.1239029192097656,1.348236591202,1.3809804190260433,1.4881932703370848,1.4457577919037223,1.0753382285562005,1.2509378966381628,1.4347384911833336,1.241867084269069,1.0329513688036018
377,377,14.229475696555715,14.108582544113865,14.14554365840605,14.271153518226551,14.420469465337016,12.553338661162904,9.330738364088106,8.745459002070769,8.458601510015459,13.59071565636181,8.614110684266903,6.080231462869043,6.381128897214075,6.530187546625337,7.410222396310184,9.939315985425678,8.189773214355608,6.871197291561128,5.63927207179484,7.6429875995731535,8.96701946305333,9.082838382913003,9.029398676338827,9.268750129784177,9.902177853682053,11.389448937489652,7.211328268308661,7.038884233453279,6.752157932819393,10.167869908188793,7.302569815485223,4.340865146307893,4.595685103462587,4.619746650470622,5.287430845076855,8.663237417488514,6.129651242722204,4.5502992638517465,4.085642624405248,6.230986465288464,10,2,1.5868679392506286,1.5533230857278593,1.566609711837608,1.5397063593685263,1.4562927144330042,1.1021901700478394,1.2939000995272303,1.2424496144583193,1.252725661066333,1.3366335111561956,1.1795999082405944,1.400695773293156,1.388504380425512,1.4135380229043717,1.4014788303491226,1.1472981180639399,1.3360912211896896,1.5100539312099623,1.380265625316594,1.2266095652992757
378,378,13.469626016118633,13.292720671205325,13.364596237777992,13.504608830298235,13.586485194456671,12.83012878777558,9.179294695806536,8.628345516099808,8.305716459657832,13.950887611144259,8.557883259719059,5.8909521169019765,6.16700271821282,6.84991631522029,7.310631864126818,9.554988207079903,7.321605138906664,7.126054249794785,5.30598057884583,6.918915980476083,9.096436648310211,9.056129444594262,9.016572033078491,9.233545678536187,9.309467188264811,12.080832851973287,7.2983056582450585,7.056691211027258,6.696483586463947,9.442577597772948,7.568260389194699,4.404470274727372,4.5773999913942784,4.651391357995651,5.205292292709326,8.797617994636557,5.946932817944987,4.569726194221454,4.0325567968867,6.3753124643363925,10,2,1.4807585142277446,1.4678147825216816,1.4822258601992195,1.46255937864588,1.45942672332347,1.0620235330612908,1.2577295506165165,1.2227183049495745,1.2403101347768155,1.477444846673498,1.1307596223746816,1.3374938981207256,1.3472719731303944,1.47265963837797,1.4044613545268703,1.0860880994043018,1.2311565243874247,1.5594050818199738,1.315785702743794,1.0852669605106602
379,379,13.365886085231752,13.07457172759552,13.17313073624604,13.318324333195937,13.402057699216972,12.126986774156649,8.718787929208425,8.09884625431431,7.7713701432056626,13.684771659620704,8.086437393663836,5.398598088493882,5.64373163343188,6.067148668168915,6.907615848915475,10.247628893152688,6.656606227958092,5.381208857961964,4.915674282769611,6.861422252596389,9.126438115248195,9.279657635516351,9.236983126931314,9.42319959218398,9.478184586026158,11.397736460239534,6.642407610123973,6.3568404212193945,6.048758319985247,9.726543085982463,6.984111619756216,3.808649816222181,3.973893774680219,4.030986987759311,4.51716056221102,9.380706604086225,5.6094239118114375,3.9861196377029136,5.061345191253044,5.92985183187808,10,2,1.464523828074877,1.4089497954703378,1.4261291327726375,1.413354795566757,1.4139899447596582,1.0639820298057487,1.3125945351380957,1.2740364265366846,1.2847876757662584,1.4069512198370555,1.157833355754142,1.4174571958544562,1.4202019362950973,1.5051273265313707,1.529194225837834,1.0924154571350557,1.1866826848193206,1.349986790929085,0.9712189342992888,1.1570984313149804
380,380,14.013668046665153,13.857807510430632,13.936267211416796,14.069760702060206,14.14115894375239,12.246197362701562,9.296692155260619,8.221648653140159,7.96066938767058,13.2616423929363,8.058933820739652,5.49756553843558,5.8628672820435765,6.043219817003565,7.088183122486654,9.547957652427707,7.184909973811313,6.519836247790854,5.285491049061512,6.854036586890276,9.134802819127644,9.291024702159262,9.208108002959275,9.411665912085908,9.46467937469342,11.193127244280193,6.8779373212162,6.745822025363528,6.470751784127293,9.239272762353217,7.082587601982252,4.1090275623750445,4.3864457278640225,4.4522171926546985,5.122344729775242,8.76444536127841,5.996902957655657,4.6951459805726055,4.185381128613483,5.904851690080642,10,2,1.5340963920229895,1.4915262798956972,1.5134778183463964,1.4949277666127785,1.494098044310186,1.0940818499994716,1.3516686356799656,1.2187763955567892,1.2302541734328374,1.4353556534203453,1.1378516262169696,1.3379237435092677,1.3365872156586551,1.3573506312705756,1.383777058440514,1.0893966770117454,1.19810342514198,1.3886333406391158,1.262845816579784,1.1607466108596998
381,381,13.744726672373975,13.542733737497239,13.621254692032016,13.769628424549243,13.825815264614064,12.595914880968163,9.10789425451416,8.504216072540686,8.196184761305304,13.506963605959251,8.329269036053454,5.612726342852464,6.074909567709176,6.4094647431595,7.3469330382036695,10.216542963271154,7.468329748232568,6.5879063437181005,5.313734847609855,7.229987997424189,8.585935570606944,8.735454011085428,8.649832146316752,8.855211819899486,8.915550931137282,10.792010727845481,5.996291312913346,5.786135001201954,5.360555406509143,8.701453581141488,6.4956888198161,3.029516378890724,3.5729242672587707,3.641002348806316,4.133096487289211,7.880149785979951,5.0264296610830375,3.6827368400031912,3.3020336438982563,5.403185687029903,10,2,1.6008420467802735,1.5503182456585882,1.574742083039401,1.5549744833439274,1.5507527657464035,1.1671518124484679,1.518921243018965,1.4697576310912388,1.5289805140998916,1.5522652025901356,1.2822764863125424,1.8526806397091007,1.7002626177604334,1.7603572118707393,1.7775856578229388,1.2964909602921535,1.4858120478748285,1.7888615532225733,1.609230983284792,1.3380972663551876
382,382,13.471640380704141,13.252607969011267,13.319409573028492,13.476463209614101,13.542205189264285,12.770351818494424,9.210386544556494,8.721501949192891,8.410500868895062,13.474481502299092,8.50904810831925,6.0902922766564505,6.3046107513034295,6.4516614984312,6.981863087851546,9.870251863653056,7.6990979966589785,6.4556379651014115,5.556422310044942,7.336482676553087,9.463146970134149,9.387300661388867,9.376089707364699,9.61563801215943,9.63209805973526,11.764498503085706,7.2001395058252955,6.971030016112808,6.644693752087532,9.880183563304792,7.329519828889193,4.455355152829656,4.56047421554961,4.523850821071746,4.904169312483688,8.766171945575971,5.919833643170022,4.5307670654805685,4.1226034197111385,5.854957211183328,10,2,1.4235898927936832,1.4117591890415195,1.4205719003057755,1.4015152392979515,1.4059455276804456,1.0854990389216246,1.2791955679615377,1.2511066412042482,1.2657469527851113,1.363788579024341,1.1609284519268184,1.3669599993141788,1.382446310036559,1.4261437332062015,1.4236586551118933,1.1259477825591,1.3005598570395258,1.424844374429714,1.3477945231109008,1.2530377954837917
383,383,13.746774896281474,13.565428130705651,13.641027686364353,13.79829269724302,13.854198764764838,12.70388850250756,9.255091392419061,8.69338097842418,8.42060625450765,13.656840192078128,8.489922358196395,5.838721508984751,6.287166105094569,6.564928473011434,7.399739796756616,10.357523145917307,8.147792475570805,6.554188358198545,5.585650551424091,7.167857725593847,8.66689720623812,8.660609254799954,8.616346035530466,8.84262448339453,8.876468313757043,10.904827956467669,6.24332893033189,6.0597751248281595,5.671175937184933,8.90264633826389,6.592548287226892,3.4169273395267097,3.6951210184085848,3.8192078984364586,4.206931561180565,8.129524608146996,5.23051331732092,3.7745472700811504,3.4270213289956395,5.656175249123184,10,2,1.5861241421424777,1.5663364702878504,1.5831569008619257,1.5604295673931068,1.560778259445048,1.164978352086047,1.4823968904561735,1.434604552041146,1.4848077978493264,1.5340202983668512,1.2878058663060048,1.7087637309236703,1.7014777252958082,1.718924093055799,1.758939904094868,1.2740625860874477,1.5577424205362929,1.7364170824273806,1.629884968664926,1.2672623124089026
385,385,13.518082247443548,13.248844799554824,13.319926091212348,13.444810691917127,13.473160392954476,11.860176783809845,8.650413522334269,8.00630912830874,7.729246069550196,13.18137278485499,8.147831255453196,5.099529723405847,5.670402237989934,6.096085172620414,7.040511315609468,9.997518611227012,7.606645655944532,5.884579487475707,5.119486405653475,6.1379571606246905,9.104981766383794,9.091684557539619,9.01815559945585,9.201112562382256,9.213640122443072,10.651489696163168,6.429354400652808,6.316872494718504,5.9832404598913405,9.15921369315847,6.714787506524939,3.5442745755254625,4.061394608980288,4.085228722173442,4.410526065418632,8.582455304308473,6.417553741381375,4.083926944762118,3.731510163581038,5.519930175309236,10,2,1.484690754390439,1.4572486227063086,1.4770122276462012,1.4612157606771128,1.462305908837902,1.1134758725891707,1.3454560105530882,1.2674482720686167,1.2918160520813438,1.4391380337267266,1.213416098057568,1.438807748874763,1.3961712130734387,1.4922261609325873,1.5962974056114565,1.164878610694094,1.1852874105121565,1.4409120356628893,1.371960997351386,1.1119628266458699
386,386,13.393682135576615,13.146700444956439,13.224152072479265,13.342630562380705,13.375446313519245,11.929310347873715,8.517857116752909,7.933304348390938,7.645778286117731,13.246378045200482,8.230350914833812,5.006279380854445,5.5314514439381215,6.039683780321669,6.75743443229677,9.843631849343797,7.602047855542848,5.783897134756893,5.17379128215057,5.971751423224204,9.19842657087614,9.242893851957758,9.206050295885372,9.114746190844372,8.983255505386934,10.941954653626576,6.452485344797897,6.3404380964835445,5.868377553183451,9.00552903733137,6.795856341785973,3.563975203593128,4.0111153304886376,3.8082414995110208,3.8679504193414527,8.51761772880842,6.2028570691767015,4.094826263125754,3.543211876794249,5.051792959755474,10,2,1.4560840413710974,1.4223576139167504,1.4364631571032993,1.4638510259104287,1.4889308564694028,1.0902357691566462,1.3200893394698137,1.251223374105775,1.3028777062869932,1.470916143881072,1.211083710558668,1.404689734038333,1.379030765306934,1.585950833500755,1.747032329707906,1.1556789894491875,1.2255719857417027,1.412489019825178,1.460198108963103,1.182105337807284
387,387,13.725361561656127,13.573858942592027,13.638073826438372,13.74942347898983,13.806930835747595,12.898189407854098,9.276360925082491,8.60258342716397,8.31420473581785,13.49402802741835,8.608155356157974,6.010602554326846,6.2480179994547305,6.391272346951785,6.993863940407442,10.012922149699472,7.704090535287437,6.931895570254199,5.394833551887005,6.702292581312393,9.849198653036023,10.134249100203636,10.070609456355314,10.25153528722689,10.348734386034804,11.524578638107341,7.400267153112752,7.069543151792878,6.782086311839294,10.192449184803287,7.260393217952019,4.495960767227043,4.734141275067237,4.667496365494286,5.128951295723409,8.760396855814959,6.316577710522044,4.559701634254504,4.069321013833043,5.804739584975122,10,2,1.3935510943751017,1.3394045092417628,1.354245131393882,1.3412062772803606,1.3341661231908208,1.1191896739031095,1.2535170329871947,1.2168513922971533,1.2259066537245302,1.3239239934144231,1.1856321135435866,1.3368894582311899,1.3197785271767144,1.3693149059956369,1.3636050602077314,1.1429758622239945,1.2196621158406866,1.5202520090741731,1.3257330973762165,1.1546241624104
388,388,13.633430241800387,13.398800687693575,13.471282206431036,13.59557175545773,13.64544140417459,12.782426229530593,9.279452250050443,8.629604215427731,8.351278235757164,13.449074262689749,8.55008910076727,6.030567523305549,6.245328273325937,6.245599893714278,6.9278566585078964,9.895384566255613,8.129423741483139,6.799305302636642,5.291774865760264,6.942555680951815,9.904576168462954,9.911910462369713,9.85991449042668,10.048119418051712,10.063241492385801,11.927051352535553,7.8806167019583775,7.611956252585213,7.291880124866049,10.047512209843848,7.7193567294020955,4.99084060032397,5.215702462044097,5.1645144078170215,5.502282911012499,9.272767036947052,6.798249192012137,4.939372761864837,4.4896947100371705,6.734342125863467,10,2,1.3764779037401351,1.3517879059301172,1.3662676506485683,1.3530463950331766,1.3559687914176766,1.0717172125542327,1.177503309829096,1.133690726677114,1.1452846306782334,1.338547690393776,1.1076167873161005,1.2083270146744594,1.1974088473747633,1.2093295517311218,1.2590876860661224,1.0671447397338638,1.1958113790584664,1.3765523742471295,1.1786491526762302,1.030918173029656
389,389,13.52035304242016,13.20783990023356,13.304733539831286,13.415468026175134,13.509730823726956,12.390654316074267,8.600932139638795,8.100151843972338,7.795979843399521,13.152431793827207,7.990497662640212,5.4592073471432325,5.763369086135109,6.056038116893522,6.595706794248318,9.457983113649213,6.6868518108435255,6.755283564841068,5.17523590559557,6.848025521265086,9.727921952459472,9.9558965087171,9.904751261189134,10.060921123447985,10.1400424620832,11.03422094644104,7.010741390218402,6.776945943117372,6.466938906286912,9.816736260755055,6.94745886245137,4.262074000368037,4.460636334704113,4.435198097275745,4.892736121586847,8.493435261170504,5.512091818335104,4.336346044956959,3.77633028059196,6.282075267821794,10,2,1.3898500736842223,1.3266349131561535,1.343267810466344,1.3334234372346923,1.3323150148773122,1.1229296908424449,1.2268220521782582,1.1952510632313373,1.205513142519495,1.3397967964574395,1.1501324183186041,1.280880469619209,1.2920508765297967,1.3654492954020143,1.3480610092884289,1.1135639258814793,1.2131241697753958,1.5578285254003796,1.3704404861495123,1.0900896963686852
