,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,p53_Nuc,c-Jun_Nuc,Bax_Nuc,p-MEK_Nuc,pRb_Nuc,c-Myc_Nuc,B-tubulin_Nuc,CNX43_Nuc,p21_Nuc,p27_Nuc,Bcl2_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,p53_Cyto,c-Jun_Cyto,Bax_Cyto,p-MEK_Cyto,pRb_Cyto,c-Myc_Cyto,B-tubulin_Cyto,CNX43_Cyto,p21_Cyto,p27_Cyto,Bcl2_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,MLC2v_NC_Ratio,p53_NC_Ratio,c-Jun_NC_Ratio,Bax_NC_Ratio,p-MEK_NC_Ratio,pRb_NC_Ratio,c-Myc_NC_Ratio,B-tubulin_NC_Ratio,CNX43_NC_Ratio,p21_NC_Ratio,p27_NC_Ratio,Bcl2_NC_Ratio
6651,6651,14.25490799621633,14.1997340821428,14.425752679356506,14.368359913007794,12.793569068919794,8.968417869916133,8.790654724273029,8.915911886395191,8.576919629920184,5.940650475062793,6.752290955161445,6.914148892415781,10.022487662759527,7.645190364425773,7.169891302003751,6.110454873826484,11.081673402419954,11.086138667209893,11.173282948654997,11.206243136200657,12.827228407113608,8.698457408664305,8.61655697163205,8.938989887749525,8.542591245317773,5.639949803748637,6.5732228858033945,7.128624754656983,10.107622546330084,7.452648695797738,7.121891883785754,6.07141621728023,3,2,1.2863497667331925,1.2808548141421112,1.2910934723167493,1.2821745645150453,0.997375946141635,1.031035440948751,1.0202050254195676,0.9974182763775177,1.0040184978558147,1.053316196380736,1.0272420504323374,0.969913430763614,0.991577160387586,1.0258353340519863,1.0067397004898764,1.0064299094559097
6653,6653,14.390468757492993,14.18345776178509,14.446612840519036,14.348985989411972,12.099770855140305,8.060121344092233,8.030815992610272,8.096714781874782,7.77417528781972,4.9293639459605965,5.992567349242353,6.4036215964457455,9.11233178115843,6.341782451390223,6.335093165381178,5.243011883419493,9.779512870542057,9.728080117300733,9.903652341105339,9.87421757143536,12.990354377379614,7.701866311068049,7.347463658636308,6.999097707266652,8.469594650988768,4.100551364805311,5.439885244832716,5.958430179340078,9.48207963114398,6.075332111500617,5.75484724435075,4.630481658081901,3,2,1.47149136649128,1.4579914629363269,1.4587156680125002,1.4531770123155328,0.9314427076916315,1.0465153533643332,1.0930052009404283,1.1568226535069734,0.9178922496500039,1.202122228798038,1.1015981182571126,1.0747162262048986,0.961005616450308,1.043857740613919,1.1008273367464316,1.1322821837051231
6655,6655,13.622343156182893,13.263254747922694,13.570137437581966,13.579945603970065,9.484741829781262,7.410721043933457,8.437026453341899,6.936678239152802,6.42203423360245,4.792947295986026,5.378872158185688,9.355357670380652,8.694890420974298,10.359331024324806,10.503980340118572,4.268801428817703,11.181291642638463,11.266544615523516,11.43653947644691,11.468538438270429,9.81990453041651,6.867279857007659,7.397212801310989,6.349616566337462,6.608049775494883,4.0344706606073215,4.80521030173871,9.719384812012398,7.5653488308943215,8.238511540684815,8.327889092220545,4.073706708068355,3,2,1.218315700150042,1.1772247126814752,1.1865597513591515,1.1841042934166648,0.965869046934509,1.0791348537181353,1.1405683032191025,1.0924562399448892,0.9718501603026285,1.187999046017236,1.1193832986330285,0.9625462774987736,1.149304627628975,1.2574275065546248,1.2613016604568872,1.0478912044313218
6658,6658,13.386799039183554,13.128669813443413,13.449493409204248,13.429325792610312,12.096186910013769,7.849920886979858,8.276774990166631,7.1174365362148455,7.278339727484047,5.287575558475363,5.632008086136128,9.368841617347936,8.925326255093713,8.58863650662472,10.496618124429252,4.969145491401352,10.038952224613169,10.283478988286523,10.439322408133313,10.462225576077095,12.666551045405226,7.478673000750589,7.141445218252089,6.340284105694907,7.920445759329022,4.042914219885199,4.963237836990702,9.134213584289954,8.582223187780773,6.190896207485587,7.468187996485826,3.7596538515024887,3,2,1.3334856805436572,1.276675902036434,1.288349270516418,1.2836012466905495,0.9549708414431917,1.0496408769566485,1.158977593080581,1.1225737549870822,0.918930568890182,1.3078624157960759,1.1347447515331874,1.0256867250686497,1.0399783435836818,1.3873010011442217,1.4055106980928254,1.3217029247028973
6659,6659,13.466307324727373,13.221565561382086,13.566415722329351,13.510163252303359,10.722221100804912,7.872951943460369,8.504467441268888,7.383458065779503,7.054936601326222,5.438854397325997,5.8217603985409525,9.516079124499628,8.558018131769373,12.054210404778646,10.669039951859784,4.4757854069033405,10.562121102315126,10.740100253870773,10.898908827292097,11.018582795608003,9.973609263444068,7.053017624541402,7.2637690217587485,6.599067618960499,6.695263805899625,4.288149019307476,4.887910582967798,9.813787594823863,7.402867352381003,9.249453766165725,7.862278915986699,4.174663189322549,3,2,1.2749624052100361,1.2310467545791282,1.2447499045370043,1.2261253105697494,1.075059270679944,1.1162529802939887,1.1708064251208437,1.1188638292726818,1.0537204815006194,1.2683454732653756,1.1910529662361677,0.969664263929937,1.1560409939017529,1.3032348406208214,1.356990774031939,1.0721309010870541
6660,6660,13.644830337575948,13.369722878473553,13.696473115636275,13.665572491674464,10.181146734449124,7.894366932784776,8.590058912618783,7.159128271366246,6.545789370698477,5.137375184161196,5.609190555990233,10.563941833677058,8.71411780082355,11.305963972211169,10.438304743872985,4.338436698247993,10.43213816920601,10.68287457711937,10.850203669933084,10.879994207191784,9.336786767872537,6.861199267076183,7.168186122868687,6.1872131628526645,6.133836989937314,3.879036517895047,4.597519474727354,10.14895104845351,6.984587785626768,8.391242667022157,7.544021861115669,3.7847013217341763,3,2,1.307961044635441,1.2515098611294087,1.2623240569751208,1.2560275521692268,1.0904336778346477,1.1505812067966457,1.1983587989176077,1.1570844713010457,1.0671606339452744,1.3243946429638112,1.2200471551722736,1.0408900174256712,1.2476209145450063,1.3473527605921776,1.3836525047303199,1.1463088707512834
6661,6661,13.484212286473882,13.244488831759305,13.534347360190965,13.462977323370547,12.290871546174964,7.598152208878907,8.216995355922919,6.972469996903792,6.749245290732382,4.6442996238551935,5.174126233615153,10.469504254100334,9.404577737776789,8.15516008633656,10.76524325624618,4.427066290529512,10.291204126076977,10.602353364364284,10.739166930956417,10.715890540868696,12.903853224732494,7.102004149218211,6.809719531507808,5.801348003844807,8.386510318718448,3.6343186003697054,4.268911560898374,9.504964712858554,9.59636507981534,5.6985637785497065,7.8024703482909885,3.750090814592829,3,2,1.3102657493991507,1.2492027360902287,1.2602790744575578,1.256356368332142,0.9524962297786647,1.069860288622235,1.2066569434914027,1.2018706673488353,0.8047739803846973,1.2779010688228452,1.2120481204174398,1.1014774457749357,0.9800145846428925,1.4310904296682383,1.3797224181190437,1.1805224218310528
6662,6662,13.828431046084466,13.563815953624966,13.867584753277466,13.816807437700731,10.358859357534524,7.918635287358713,8.89001150196945,7.30912349386787,6.970882901712911,5.170480174617486,5.8336848585596295,11.236323994926726,8.817371101662788,10.106749349790286,10.892910229175284,5.00671860514212,10.776233102769805,11.266760625878367,11.325173898960786,11.33840394825152,10.980190078613598,7.600544749188005,7.691366101348881,6.689880261906277,7.501669262524339,4.695247291036386,5.4512190282811925,10.553732636416811,8.591910307272524,7.840437115460639,8.010273422360948,4.768113153366413,3,2,1.2832342168368795,1.2038789501279137,1.2244919925291369,1.2185848643919062,0.9434134822229302,1.0418510184029495,1.155842978324794,1.0925641727083977,0.9292442332184588,1.1012157303169865,1.0701615231921862,1.0646777194406611,1.026241055402944,1.2890543219663968,1.359867467041432,1.0500419021321348
6663,6663,13.488280974177927,13.18289937746429,13.485461781030073,13.430378567453944,9.596293527526763,7.644608100203237,8.598251439948433,7.0194428574217405,6.449688179305741,5.435927514858185,5.607814476510325,10.308266694464017,8.806633819996033,9.222330054823546,10.298511804684717,4.580302078686464,11.425379914104461,11.527208007048335,11.722930290051924,11.697843303733752,10.266204546840953,7.305104252062188,7.7797045645777825,6.543323284136273,6.737350601201906,4.693608177012392,5.175587104508882,9.620197142814668,7.859146213324765,7.556754487388999,8.487014560852895,4.3144792416801785,3,2,1.1805542638916406,1.1436333385676374,1.1503490550032387,1.1481072381237314,0.9347459894981023,1.0464748806350312,1.105215676067909,1.0727641830627228,0.9573033319885642,1.158155369994753,1.0835127229575354,1.0715234356879337,1.1205585926197497,1.2204088501504347,1.2134434000134173,1.0616118011273052
6664,6664,13.566821487943015,13.375127330825801,13.610164600337793,13.619303403571658,8.616862745828637,7.844113644754751,8.509880040235874,6.994763321591187,5.949317118767098,4.67195332288262,5.247351423911099,9.50514429351082,7.506480498492999,12.755408462377437,9.513503862465505,4.923797617131791,11.094843274869046,11.36394009988576,11.424580588644087,11.539939918167935,7.399016978076458,7.06836014624328,7.324886066343503,6.381929884341306,5.954606261155921,4.019059398586824,4.511532123963676,8.91383650241117,6.801461600069668,10.533246345591992,7.4068547796459985,4.424376061080016,3,2,1.2228042480485735,1.1769797458682716,1.191305404582305,1.180188415203971,1.1645956174125156,1.109750137579474,1.1617764376346,1.0960263507052197,0.9991117561503057,1.1624494339460039,1.1630974311451778,1.0663359475955951,1.103656969616076,1.2109665001536194,1.2844188451768446,1.1128795448571935
