,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,EGFR_Nuc,STAT3_Nuc,p-PKM2_Nuc,HCN4_Nuc,LC3_Nuc,B-actin_Nuc,PDGFRa_Nuc,Flt1_Nuc,Mlc2a_Nuc,B-catenin_Nuc,HIF1a_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,EGFR_Cyto,STAT3_Cyto,p-PKM2_Cyto,HCN4_Cyto,LC3_Cyto,B-actin_Cyto,PDGFRa_Cyto,Flt1_Cyto,Mlc2a_Cyto,B-catenin_Cyto,HIF1a_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,MLC2v_NC_Ratio,EGFR_NC_Ratio,STAT3_NC_Ratio,p-PKM2_NC_Ratio,HCN4_NC_Ratio,LC3_NC_Ratio,B-actin_NC_Ratio,PDGFRa_NC_Ratio,Flt1_NC_Ratio,Mlc2a_NC_Ratio,B-catenin_NC_Ratio,HIF1a_NC_Ratio
6599,6599,13.71489262820138,13.455241585927078,13.582943297751921,13.84607079815964,12.455688105831776,8.75372579892794,10.87403044051337,13.278472800200568,7.942887629708036,6.824309301585307,5.766863267591843,6.177785570697688,9.081389090040329,10.901535866818428,12.066154228282025,9.094449030247702,9.198316244738457,9.441674655138431,9.408252272054556,9.51688758545134,10.208426405504342,6.630136224176072,8.523471648991203,9.752386799659892,5.994474838512753,4.498469114080971,3.729062861254096,3.924943458432995,6.601548734361134,9.003038239519302,10.691254308658255,7.192346404165338,3,2,1.4910220809212182,1.425090577401367,1.4437265184839378,1.4548948565207822,1.220137914607066,1.3202935057364928,1.2757748119922905,1.361561336006858,1.3250347768043498,1.5170292667396696,1.5464644824068285,1.5739807811560487,1.3756452395438057,1.2108729938484069,1.1286004317108345,1.2644620432882363
6603,6603,13.81081499511256,13.614354668601049,13.724879155541199,13.973932946633932,12.11318586588058,8.423624110301258,10.154823777924463,13.185229555199776,7.5890096943500565,6.812436882526907,5.347224027058,5.419973859252084,8.840298191020112,10.056753211352037,10.843552497391432,8.044101834025888,9.700890028545668,9.945718667939753,9.930843820936984,10.047147445274213,11.210756510340076,7.214437402490269,8.581426410839956,10.483695015657393,6.7403784679604115,5.651447300133574,4.2430123686232655,4.363427094425911,8.135288378317911,9.153860733578783,10.93732801136607,7.416425447777843,3,2,1.4236647312229187,1.368865853051648,1.382045614956237,1.3908358589090604,1.0804967403143724,1.1676065145971888,1.1833491650172527,1.257689157831055,1.1259026077576375,1.2054322584527846,1.2602423850093605,1.2421369125602821,1.0866607033355065,1.098635155597376,0.9914261039005883,1.0846332765923121
6604,6604,13.783561860238226,13.57416428065002,13.65755057596336,13.956654353231222,12.821173803470433,9.026266837635038,11.069308782036051,13.50076256971597,8.414871527817844,7.019688641816577,5.890535043519759,6.123775519922672,9.191825394377503,10.773519547348855,11.78278388452865,9.021761666474744,9.714552419572216,9.983908861750164,9.903692963568798,9.94989138747807,10.770550641574175,7.70070339769991,9.136259970029233,10.142852323452132,6.807453263055447,5.349748182216636,4.6174431126435005,4.699363804703895,7.725429125993428,9.601226079322776,11.029444856155497,7.937973947672303,3,2,1.418857119188327,1.3596041859571313,1.37903614603192,1.4026941410431535,1.1903916735678195,1.1721353714689304,1.2115798826158657,1.3310617308801524,1.2361262285098562,1.3121530963178927,1.2757136146172052,1.3031073512106026,1.1898142154265776,1.122098308938973,1.0683025336449927,1.1365320327260895
6605,6605,13.818607603699668,13.44450020122632,13.596552447965125,13.91737197814646,10.525081967864669,7.780915320606063,10.151206262587948,13.051408540290813,5.858550114453196,5.9687944428091395,4.848477798413342,5.0603664687976035,6.9684095381964575,9.431804000829834,9.256050852908896,7.375441423950997,10.013347613654908,10.164141693681023,10.180519127483329,10.353958871057502,10.710710955777882,7.1217135621631265,8.911978621889311,10.343653704287133,6.54783067091934,5.193892182232246,4.120337850199074,4.474944785615676,7.540927469794068,9.284200297636266,9.27827540520709,7.6946291929449835,3,2,1.380018764639274,1.3227383685121858,1.3355460834271087,1.344159480587642,0.982668845356799,1.092562239788076,1.1390519090401414,1.2617793396236183,0.8947314628144827,1.1491949069000222,1.1767185057844438,1.1308221019986022,0.9240785786773726,1.0158983755694226,0.9976046677504613,0.9585181090614943
6606,6606,13.749286460680564,13.399831787598027,13.552051459244248,13.862112044025414,14.352201251761072,9.422335944148044,11.009023858073805,12.844125742665401,9.307619690552123,6.789185957528418,5.839706192582686,5.877541720490173,10.286827394066997,10.227490437019982,12.179403224229205,8.377211150705737,9.595683992694015,9.888792793281725,9.833420939400892,11.488746418109287,13.356005794899694,8.186206893005775,9.421840377158592,11.283796343796975,8.439589772936827,5.390313967350735,4.544942894378703,5.137354522905642,9.397424127355976,9.083227871323484,11.442081884118679,8.262784832142264,3,2,1.432861531408186,1.3550523372986074,1.378162446493409,1.2065817748553558,1.0745878275406109,1.15100144270705,1.1684579039104748,1.1382805353205603,1.1028521457759477,1.2595158646881581,1.2848799926189123,1.1440794467822495,1.0946433038093877,1.1259753230796985,1.0644394392190035,1.0138483962596185
6607,6607,14.122259579641476,13.895359185710394,13.996703893647439,14.263672911518455,12.224103629471287,8.425723201250275,10.26730339395338,13.434284331512554,7.676615400286519,6.7137139922245765,5.401980947592427,5.545683002421281,8.745230462840807,10.136148358857012,11.379947769527721,8.197771742652924,9.877069381345796,10.303787582043961,10.264606241174215,10.27548500622379,10.936645565346772,6.6428469518410616,8.094481574207459,10.14592930050124,6.368857273092231,5.096571876221662,3.68630097977256,3.927215717701707,7.7296571460030705,8.609864937326059,10.635980504450696,6.769582517896255,3,2,1.429802609903025,1.348568094505882,1.3635889740711857,1.3881264877403887,1.1177196478053455,1.268390384775475,1.2684324869760009,1.3241058491161435,1.2053363847105558,1.3172999724673324,1.465420479020604,1.4121157076817612,1.1313865929180156,1.1772714708815126,1.0699481599054932,1.2109715364250406
6608,6608,13.87175676940141,13.531684317226171,13.671223240877216,13.978733536470886,10.760808858348767,7.936769576520237,10.374574710772078,13.156701198149676,6.254611461901736,5.935225319778932,5.081580527072728,5.283047929081217,7.093368881378188,9.616188814677436,9.430365339369052,7.461456474709728,9.634557225138416,9.929617356543648,9.946075793796293,10.05909377084648,10.308036408847855,6.935017050700811,8.971903919788879,10.130926009661511,6.272219279164557,4.8414535493996365,3.986168298625645,4.305305970032845,7.2679416853776,9.24916126620171,9.549171169577614,7.548809098719532,3,2,1.4397918290637504,1.3627598961110772,1.3745343916848518,1.3896613208820465,1.043924219079424,1.1444484589577462,1.1563403713998095,1.2986671885277405,0.997192729322887,1.2259180552325921,1.2748033064295756,1.2271016196883477,0.9759804341371319,1.0396822520347784,0.9875585191532579,0.9884282907585221
6609,6609,13.531999253808534,13.206493221652005,13.375659460356767,13.660150527914649,12.073010123958726,8.552257579475278,10.2400752364208,13.094959217876925,7.74303648563821,7.16529183554295,5.5926091001591605,5.666077634532902,9.207667504693001,10.122705765079301,11.34634017302376,8.067690052146816,9.432400437000778,9.491538832790114,9.50158945912078,9.665964302266849,11.308074841658776,7.10432529090996,8.268787029805427,9.764999594172458,6.906185964870341,5.540241408246274,4.2068522274865225,4.3312476116279015,8.27709933071332,8.924067206661281,10.717135698760837,7.176670908507887,3,2,1.434629429082138,1.391396427313552,1.4077286245531462,1.413221702537334,1.0676450494899397,1.2038099649544423,1.2384011342304169,1.3410097042596616,1.1211740496164846,1.2933176205783918,1.3294046944692872,1.3081860338165483,1.1124268462656572,1.1343152769539104,1.0587101341206004,1.1241549396646615
6610,6610,13.958423457102851,13.696516822532475,13.813278877754662,14.080000886426012,13.269700553633337,8.739589562121903,11.198673205028193,12.907501237020329,8.41517569674461,6.380045956638018,5.417741640271657,5.566252909234147,9.51866507989182,10.198012816065518,11.581353915755189,8.252073746707863,10.515504444093192,10.757691421335672,10.764550106640655,10.846831991609065,13.358365603850935,8.262236749955132,9.912526244267312,10.885986412086806,8.485615776094146,5.490527582297252,4.612713569151444,4.6708279662613785,9.30281171949766,9.612521561005103,10.082143036303325,7.8329930853513385,3,2,1.3274135854646163,1.273183649362562,1.283219339490393,1.2980749491942047,0.9933625824560426,1.0577752522244492,1.1297496651274639,1.1856988194187912,0.9916988841813953,1.1620096358697443,1.1745237502939743,1.1917058280546102,1.0232030236559293,1.0609092267148261,1.1486996240832503,1.0535019828040264
6611,6611,13.636180194701776,13.441710053195019,13.491928653142052,13.629116747723033,13.011927276431198,10.744493179878813,10.225601856890922,11.02364467401299,9.377276528092779,7.890249416599685,7.222738437063942,7.219859773659249,10.978937706316595,11.146253071705448,10.785837236415878,9.492523580353703,10.52929428729733,10.487601883814305,10.429494196982537,10.5337874591854,11.394356941540348,9.265764796736608,8.985058729298267,9.037943783826524,7.8957830230523705,6.3715473084906735,5.6780324327959155,5.687547275635404,9.648388965840363,9.790346132913246,10.336054038483256,8.220342659516382,3,2,1.2950706688056608,1.2816762308588239,1.2936321166030793,1.2938477067750713,1.1419624067588827,1.1595905373793873,1.1380673365603635,1.2197071521666127,1.1876309798173366,1.2383568754304313,1.2720495211238867,1.2694153426360149,1.137903721044723,1.1384942800167102,1.0435159487612957,1.1547600840415777
