,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,PCNA_Nuc,Ki67_Nuc,p-STAT5_Nuc,MCM6_Nuc,Oct4a_Nuc,p-Rb_Nuc,p-Aurora_Nuc,a-ACTININ_Nuc,Mlc2a_Nuc,Cox4_Nuc,mTor_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,PCNA_Cyto,Ki67_Cyto,p-STAT5_Cyto,MCM6_Cyto,Oct4a_Cyto,p-Rb_Cyto,p-Aurora_Cyto,a-ACTININ_Cyto,Mlc2a_Cyto,Cox4_Cyto,mTor_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,MLC2v_NC_Ratio,PCNA_NC_Ratio,Ki67_NC_Ratio,p-STAT5_NC_Ratio,MCM6_NC_Ratio,Oct4a_NC_Ratio,p-Rb_NC_Ratio,p-Aurora_NC_Ratio,a-ACTININ_NC_Ratio,Mlc2a_NC_Ratio,Cox4_NC_Ratio,mTor_NC_Ratio
180,180,13.294520227123936,13.12130701188632,13.237481614080233,13.479370947816632,10.265308230259432,12.140079599338279,7.116946319043892,6.244337679790827,7.5486423253926445,4.758651781983705,4.916635901815598,4.528494782705897,9.21214279907807,9.821033013526415,8.985070485461076,8.161633758558487,11.020584793600056,11.162289450310151,11.194859796777164,11.229472130400934,10.0258671958905,10.032891622613189,6.777350912507872,6.04913860309084,7.596221984300913,4.567823125586412,4.126974814181128,4.1752474426308455,9.193407580629653,10.052399132287114,10.094320288468797,8.199988352099886,3,2,1.2063352785819872,1.1755032039168036,1.1824606877069697,1.2003565965780947,1.0238823265549615,1.2100279815617352,1.0501073960785008,1.032268904633835,0.9937364048856654,1.0417767175196377,1.19134138762394,1.0846051269843946,1.002037897078325,0.9769839900191012,0.8901114912833836,0.9953226038996047
181,181,13.291888944528122,13.301704485515337,13.404710002144752,13.598101659491608,11.89106544152552,12.228078767145872,7.998984816932968,7.214271964015808,9.08595187487532,5.407239787541685,5.7421237974479595,5.0359510926668865,10.84098179663236,10.630838313363952,10.426382083148212,9.370956720379231,10.177537011742807,10.140232072011633,9.996628487728907,10.062695848080963,11.089484904666376,8.902391256411475,6.0201320870174255,5.433044144704153,8.139052446889588,3.79235738961412,3.3112048620764716,3.3939935531852794,9.976789608813599,9.724724109164123,9.145773051142232,8.146574029722046,3,2,1.3060025160500017,1.3117751537688946,1.3409230940811037,1.3513378387646362,1.0722829368316147,1.373572382402228,1.3287058658036741,1.3278507908035133,1.1163402538765552,1.4258254779336297,1.7341493615248704,1.4837833407021712,1.0866202678119345,1.0931763404316992,1.1400219560276583,1.1502941833205143
182,182,13.337949926007273,13.34888984441602,13.358382808628294,13.603272957147414,11.380589416459653,12.343578204448368,7.58493534602216,6.855123370809965,8.123387822496563,5.125083204599643,5.048879919694853,4.8874244334837185,9.343107756641084,10.250049892672275,10.233622564832164,8.822013061301488,11.104565350889649,11.388422939772148,11.319831621635881,11.37328211196954,12.436819783940251,10.418578695882314,7.12887116729972,6.262426257658639,8.309994964676651,4.807006193742966,4.373873799170618,4.3467782158721135,9.447921000434855,10.206115471260592,9.835036561361784,8.63997542133906,3,2,1.2011230970817508,1.1721456004059412,1.1800867058036515,1.1960727627455028,0.9150723106203954,1.184766038128297,1.0639742489406199,1.094643368043893,0.9775442532789369,1.0661694614146122,1.1543268396660715,1.124378606582101,0.9889062108172849,1.0043047152989204,1.0405271501517621,1.0210692312286944
183,183,13.510258184062216,13.401786877023465,13.513279392344224,13.712028972606964,12.75098718744425,13.138315692559589,7.758400459247023,6.777417588385178,8.714339768286944,5.06456258171185,5.137877162392815,4.873561067124972,10.252184232265485,9.699878245618551,9.18952829187968,8.367655027219604,10.809135831062381,11.029732448987547,11.03384679016396,11.071129363052378,13.474130261186032,10.45911729051379,7.480418496114132,6.539524778223032,9.155228241502314,4.8180606637009005,4.434766348022307,4.611768715291075,10.59527342429299,9.882556005211924,9.9418717457149,8.792993593084168,3,2,1.249892534908996,1.2150600151913618,1.2247115307410772,1.2385393145497916,0.946331001725218,1.256159131562257,1.0371612849304213,1.0363776907695712,0.9518429839666102,1.0511620619200763,1.1585451767225712,1.0567661493877352,0.9676186561414388,0.9815151303471459,0.924325773548679,0.9516275587646169
184,184,13.3506345129336,13.128373436940215,13.320437033339605,13.543434837899563,12.81818063209993,13.07229075109673,7.634797967557085,6.8898840022532,8.427581559347741,4.7369802248291295,4.797528266155723,4.995954856372707,10.336943876140491,9.37888552988601,9.041916025488158,8.563251759201647,10.766157272278843,10.88662964108212,10.945842554179942,10.972841782433727,13.606817891244251,10.628052465753848,7.4037452388170015,6.382629040580242,9.151934114686618,4.640444261151089,4.361169816940987,4.404728897185385,10.725137794811745,9.686669702650082,9.741084609879843,8.732759189313786,3,2,1.2400556833132448,1.2059171543228202,1.216940310205071,1.2342686704533608,0.9420410219753294,1.229979885140651,1.031207547165278,1.0794742978869478,0.9208525163903368,1.0208031727665003,1.1000553676033662,1.134225277647647,0.9638052278583272,0.968226007264409,0.9282247704036409,0.9805894761967598
185,185,14.176933233654658,14.156462612105914,14.230660792237654,8.925133689944007,12.42259273854942,10.19828252886358,9.014449687337981,5.844507797809749,10.374045682162777,6.983924393230266,6.1564607394046105,3.731555069334256,10.988340478884783,11.472468728503564,11.557026320093405,7.9533638300545615,11.13285541577554,11.30988811631269,11.343123556563807,8.032348150090122,11.07912815914016,8.705293488955029,7.714051409834461,5.255953957800037,8.618905087596294,5.489164508778144,4.9623115035024,3.5265326481177746,10.033444954383453,10.203427151262296,10.948903557501913,7.55659373063236,3,2,1.2734319008190462,1.251689005807891,1.2545627949193012,1.1111487603838321,1.1212608573627625,1.1715035847789397,1.1685752671865361,1.111978499951712,1.2036384641353521,1.2723110014396066,1.2406437473865515,1.0581371113424707,1.095171252629851,1.1243740518188803,1.0555418868563164,1.0525064749496593
187,187,13.510245377490056,13.458066191743677,13.602468286010554,13.734317003474386,11.458875694881588,12.991918776683063,8.283256454521467,7.3197910775573565,8.680603039414338,5.5555190381443085,6.142281074562974,5.372245529659624,11.327594088236635,11.336252495263144,10.340604135012448,9.268382609148741,9.895763483509498,10.027561809586873,9.997092105853152,10.040973086944089,10.942015950622222,9.195436441352888,7.1442849548336245,6.341421658978666,8.092114397096863,4.519568092069648,4.34983795888107,4.430716879692664,10.265787088717023,11.047448588137447,10.380215893803328,9.097631304977646,3,2,1.3652554853401464,1.34210752796129,1.3606424890340367,1.3678272897008974,1.0472362448192167,1.4128659209971783,1.159424142078382,1.1542823472704171,1.0727237176143485,1.2292145897508242,1.4120712386589647,1.21250029634759,1.1034316210090338,1.0261421363332535,0.996183917637539,1.0187687650166335
188,188,13.374806603863087,13.476454060140824,13.506680838830896,13.53710879743279,13.546845074192786,11.969552811879142,9.315776238768072,8.415120107525183,10.224774006154412,7.182998343508589,6.947747224152843,6.183684327151452,11.65098563129164,11.731545097079445,12.794352442357381,9.740260167966293,10.481631196716608,10.428342820097283,10.271969735557803,10.34253556796503,13.69283309746933,9.867925065802382,7.975618739731,7.103891146159028,9.376864104554944,5.620898253851207,5.1363745135404,4.951367127490913,11.0419357667925,10.54262101013676,11.318910935243276,9.1552761634104,3,2,1.2760233930051625,1.2922910468736495,1.3149066037525117,1.3088771808880824,0.9893383624676236,1.212975649091623,1.1680317907325486,1.1845789771251096,1.0904257427797832,1.2779093339017649,1.3526558871120749,1.2488842309467387,1.0551578887400157,1.1127731031779984,1.1303518965345047,1.0638958338464781
189,189,13.706670291782515,13.64571091249899,13.737067031500347,13.910062784821491,11.165165903846917,12.0424487305029,7.827821720309402,6.680566412022082,8.49447258186942,5.380358372535392,5.444125216453203,4.766590478110231,10.249216227759456,10.137644882964024,9.929112852988425,8.424947282669969,10.963818360786384,11.178749587256737,11.124523906153925,11.012227119443256,10.647389501053054,9.47528151151858,7.0501095011701285,6.040307808147296,7.912634533236182,4.8275164292775115,4.291253529930824,4.088462559147383,9.701824300217082,10.19318069364283,10.199737982398133,8.406239165801294,3,2,1.2501730547458103,1.2206831189826879,1.2348453873069751,1.2631471031197494,1.0486294225211403,1.270933081604336,1.1103120765727388,1.1059976782989753,1.0735327843323597,1.114518914923842,1.268656158038969,1.165863795779572,1.0564215461549975,0.9945516701461554,0.9734674429993465,1.0022255037597294
190,190,13.293490241629078,13.184867179354637,13.357510558559207,13.535967542283302,12.032118223973251,12.946960868646846,8.049523152025051,7.106738627825497,9.064065205259158,5.517086114434573,6.151888054974736,5.1079234894225705,10.948870555924229,10.670955668583382,10.390760682288835,8.874718797586917,10.546429451739051,9.358484130864849,9.403692722594288,9.517657676456722,12.411007197759774,8.944388648085521,6.576346816208588,5.801240957925691,8.846022796040176,4.138926988710021,3.795046192691173,3.756543214465765,10.458398259066255,10.129539955176078,9.778382163428217,8.340354417099327,3,2,1.260473063652557,1.4088678246373412,1.4204537464803657,1.4221952503888053,0.969471537019581,1.4474953379198303,1.2240113511327528,1.2250376564890357,1.0246486375002999,1.3329749786560219,1.6210311397059074,1.3597403777368742,1.0468974583591506,1.0534491907631647,1.0626257502136656,1.0640697449729524
191,191,13.666189500509242,13.547539781390967,13.659966964840331,13.854384291574075,11.842380504202533,12.550984674930588,7.69632946995462,6.758486630230439,8.023469674577592,5.153856825307153,5.033437151405087,4.84836151989799,10.085234906976227,10.15886770973291,9.463424672618213,8.711929952499124,10.05975376435994,10.175590209249492,10.210634992314523,10.338526736208689,12.021760210916787,9.547076627808938,6.94414135348613,6.190825419736104,7.912525108339683,4.463165064913478,4.038789743726651,4.183670531089384,9.610878401746673,9.873195823041325,9.646279998849208,8.372679523441242,3,2,1.358501392839884,1.3313763135897918,1.337817576979502,1.3400733629726733,0.9850787485719968,1.3146416609218154,1.1083198164004644,1.0916939457999661,1.0140213856788873,1.1547538014722887,1.2462736291789875,1.1588774698842088,1.0493562071437035,1.0289340849519975,0.9810439541198464,1.0405187405188594
192,192,13.45593212120932,13.383235735776385,13.477602344327032,13.7045250555474,11.768315664179461,12.414779919670575,8.076167902699073,7.306026195360284,8.887041069267736,5.51449297832343,5.766653326912572,5.434870880687369,10.693557173808909,10.712808289432736,10.823232388624058,9.3873154491732,10.489909417625947,10.721503409455726,10.705174336069332,10.715520233845185,10.948294033956843,9.672501493487234,7.203348905479151,6.430573730801085,7.930449512074042,4.729952940094812,4.53844689206841,4.5737530056969184,9.585694880169793,10.411486393134872,10.466808137157276,8.861758283118105,3,2,1.2827500777651746,1.2482611089759268,1.2589801829678249,1.2789416431935225,1.0748994891513937,1.2835128459819618,1.121168502133226,1.1361390913482519,1.1206226148640492,1.1658663517723904,1.2706226301756731,1.188273803573973,1.1155745418030134,1.0289412947316101,1.0340528121654846,1.0593061951437217
193,193,13.72910591087486,13.54066576523723,13.669833789805642,13.903128684332255,10.372656455148247,11.99132273755686,7.631031020708481,6.544298694113825,8.049471617320835,4.895847257228187,5.2226481231181685,4.7628072989729136,9.564548502818212,10.317565256239632,9.126493904965434,8.558959575677793,10.930720897057936,11.053364132790833,11.084528532318464,11.190972802569725,10.175475588534608,9.585454818507127,6.701384450277419,5.936536814923441,7.349488368227528,4.248969125999047,4.047577475743034,4.1870872484169785,8.58454944725654,10.20235640955223,9.788206798825733,8.511543813946174,3,2,1.2560110206976491,1.225026661798609,1.2332354732047797,1.2423521109031515,1.0193780492025175,1.2509915246175487,1.1387245542064934,1.1023765030248904,1.0952424460074521,1.1522435470926236,1.290314553437775,1.1374989381397769,1.1141584729149485,1.011292376198457,0.932396923414033,1.0055707592850462
194,194,13.380243632350691,13.290934035061687,13.393752834658866,13.591258799378116,11.109231988553006,12.391106933576268,7.628974530846517,6.784758479838432,8.392165142069258,5.1155242169949835,5.070867297600188,5.08659671425899,10.141432761024534,10.34526616305556,10.115693572107855,8.696439548425909,11.15368920777114,11.336085731847042,11.380563221855493,11.442876130880515,10.196876068129502,10.252298985560369,6.8962069739481375,6.198315516688554,7.555933195965738,4.530481857284789,4.301891497962205,4.409632195805603,9.052929607348084,10.231354782263704,10.171520865756316,8.460319840216371,3,2,1.1996249297522328,1.172444735286607,1.1768971863305673,1.1877484859509952,1.089474061891866,1.208617398988096,1.1062566073881719,1.0946132802647621,1.1106722259733584,1.1291346876865813,1.1787529508827093,1.153519497407813,1.1202376690074929,1.0111335578929708,0.9945114113823027,1.0279090758587088
195,195,13.55806391750842,13.348567185557828,13.529135156993648,13.755840245347054,11.448218745117984,11.753882741891644,7.916007379700647,6.679304907323205,8.522648591891622,5.006317429013398,5.00178967781362,4.6695940729465,10.44646774660339,9.7200410857724,9.018511724422195,8.50166668517443,10.97996265121182,11.102782280984096,11.078409000302818,11.247236135202249,11.011908141875903,9.41940687209218,6.826056338408233,6.042576204648613,7.7939116788833465,4.473612326965236,3.832202911217821,4.14145926964971,9.590909010520368,9.783093431283273,9.747766864263141,8.29883577947353,3,2,1.2348005497097083,1.2022722636307228,1.2212164360987072,1.2230418282313138,1.0396217074843628,1.247836822583389,1.15967507258321,1.1053737149702392,1.0935007917760602,1.1190771714476058,1.3051995924255797,1.1275238433870824,1.089205177021756,0.9935549684817225,0.9251874660118811,1.0244408867810815
196,196,13.57196618511486,13.392734417319598,13.534423075622636,13.740582107110171,11.245754759081418,12.50009185361727,7.718744296259718,6.901326712351282,8.290656694776379,5.205737119328297,5.125418579159258,5.0765066223499415,10.160590143985058,10.547468157182752,10.11742006345417,8.727834787485147,11.026927597993774,11.153652050243497,11.194684983668356,11.285962714261933,10.35833176156179,10.090350712574034,6.861336581888082,6.178720706377941,7.601802887329491,4.463797147620425,4.1026343941158965,4.219799276347808,9.097830608912341,10.212948298294943,9.999528411337893,8.344756426068383,3,2,1.2308021490577419,1.2007488091783551,1.209004370857033,1.2174931332837353,1.0856723860508815,1.2388163909942547,1.124962200023089,1.116950747624413,1.0906171624885268,1.1662127438079009,1.2492993737171085,1.2030208760885908,1.1168146100710674,1.0327544847107135,1.0117897212015126,1.045906476097979
197,197,13.707837220511847,13.565996569859973,13.694649180450623,13.884632086218293,10.4988441705096,12.108529422166908,7.598612131244385,6.690357463193432,8.148964655429198,4.9496149136892615,5.107127817033993,4.7516808876841194,10.156842566566327,10.130288337038824,9.907765305233491,8.614926729543262,10.712525996942622,10.90907154169652,10.9050750410221,10.92155230063807,10.313876621467212,9.35147963542076,6.936248331125929,6.256704042123193,7.848456486068213,4.578357696331841,4.221652957222986,4.292645017560221,9.672498414439689,10.147686866955326,10.425999487815284,8.452246914678964,3,2,1.279608303814067,1.243551893303494,1.2558051300825406,1.2713057360359947,1.0179338531796471,1.2948249789587545,1.0954930920143306,1.0693102020090246,1.0382888240374928,1.0810896050465586,1.2097460091540717,1.106935436833488,1.0500743583895118,0.9982854683885489,0.9502940525570286,1.0192469312014267
198,198,13.497406459120324,13.332701398446146,13.51644243106273,13.968754487772353,11.243709108580353,14.333133161579747,7.944422279774589,8.345507856106982,8.156786563734519,5.2994444490573605,5.462376546766637,5.954960940629926,10.911053120213099,10.194332869638265,9.922852564039946,10.158583974201203,9.443421766488726,9.709855051632996,9.975745805780267,10.887819399083734,10.14738156335568,10.050833572810529,6.865841420148613,6.67077515230079,7.543399016003073,4.428584961295149,4.016704789803678,4.5351806942704735,9.949951113327684,10.422497654216905,10.220769544833061,9.269028701008482,3,2,1.4292919232960364,1.3731102398077366,1.3549305178998114,1.2829708113038591,1.1080404376616468,1.4260641227165154,1.1570937622387774,1.2510551870765074,1.0813144772575551,1.1966450898816057,1.3599148637043894,1.3130592455010963,1.0965936411082509,0.9781084350269607,0.9708518052886026,1.0959707108357466
199,199,13.672549600382064,13.526625514575572,13.677731918466508,13.885655450783716,11.534182292146197,12.102177849091165,7.8047338371648936,6.905921603856486,8.611010801308657,5.180823114763841,6.038850914860853,4.943503707219874,10.839711787383369,10.711345041147217,9.932921120664917,8.940665226796447,10.427291584298347,10.657014786742087,10.652571623388571,10.651893381531234,11.706591660073517,9.327374582487156,7.3068280838690916,6.412555888722477,8.350135744447101,4.787249425782462,4.6006298646237065,4.5215941213501365,9.972542574458528,10.494113005403328,10.55586073312946,8.868919239828006,3,2,1.3112273201384816,1.2692696580850615,1.2839840370972917,1.3035856587580321,0.9852724539359018,1.2974902789702376,1.0681425301896732,1.0769374526624669,1.0312420138840306,1.0822129064054462,1.3126139447331482,1.0933099200296548,1.0869556792011916,1.0207003713064684,0.9409863744687864,1.0080895975065653
