,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,p53_Nuc,c-Jun_Nuc,Bax_Nuc,p-MEK_Nuc,pRb_Nuc,c-Myc_Nuc,B-tubulin_Nuc,CNX43_Nuc,p21_Nuc,p27_Nuc,Bcl2_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,p53_Cyto,c-Jun_Cyto,Bax_Cyto,p-MEK_Cyto,pRb_Cyto,c-Myc_Cyto,B-tubulin_Cyto,CNX43_Cyto,p21_Cyto,p27_Cyto,Bcl2_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,MLC2v_NC_Ratio,p53_NC_Ratio,c-Jun_NC_Ratio,Bax_NC_Ratio,p-MEK_NC_Ratio,pRb_NC_Ratio,c-Myc_NC_Ratio,B-tubulin_NC_Ratio,CNX43_NC_Ratio,p21_NC_Ratio,p27_NC_Ratio,Bcl2_NC_Ratio
406,406,13.585244315869536,13.401299927837538,13.583576750153457,13.687974932087036,11.079822454223528,8.01943321368911,8.360217863669606,7.800548426281201,7.341874730835329,5.4121143349158505,5.715140438124332,11.358214385631351,8.202786466003502,12.258650679453538,8.905395475691321,4.7995482115353685,10.034162179772016,10.199126129417195,10.310743423204961,10.401463287825607,10.182802930774727,6.892628584826093,6.946202299470227,6.7407125976726485,6.8164081395477565,3.9772811914856714,4.919715040733536,10.362799504097312,7.131706738843795,8.556006130874335,5.5393574070915506,3.5861446188106934,3,2,1.3538992167433956,1.3139655062392412,1.3174197235461007,1.3159662783320234,1.088091611862369,1.1634796674440928,1.2035667121741074,1.1572290485985828,1.077088487151891,1.3607572797472267,1.1616811930782474,1.096056560887863,1.1501856100344015,1.4327538447194674,1.607658582255503,1.3383588008023746
407,407,13.500748657385907,13.224519017031332,13.399569685265954,13.412546421997563,11.268609708750766,8.00149797775099,8.194351166644008,7.545790970168698,7.1600974740754255,4.857392076563327,5.410476094715056,9.923885916898957,8.021334002243144,10.5111470410661,10.336769691178011,3.997098243927629,11.55225609500145,11.363665491213515,11.495199555682687,11.570154168823658,11.460879453233217,7.780750744854907,7.768345402628902,7.387349126026923,7.403957623841326,4.585343135886685,5.209309158741734,10.308124700120144,7.847020511941937,8.50161951165312,8.359814986488953,4.0147193082806405,3,2,1.168667708399189,1.1637546905315581,1.165666556753409,1.159236620903317,0.9832238228080996,1.0283709426165661,1.0548386743811546,1.0214477265713025,0.9670635405879888,1.0593301161144257,1.0386168165188938,0.9627246667653614,1.0222139715368308,1.236369967705392,1.2364830690492783,0.9956108850955865
410,410,13.66091541095451,13.46973438845924,13.674816841746813,13.801595244463634,10.797025207617066,8.279944022467799,8.609791940714995,7.935708310475229,7.230631432087092,5.287125984003519,5.794249710450479,9.532600354763991,8.325932577417149,12.497025475435471,10.451942918559489,4.613186285932743,10.566052423899032,10.653226142650484,10.766750238770394,10.92589354627573,10.364156479926189,7.581325437080528,7.6178012893843725,7.88172547517529,6.954289150370076,4.562370672923078,5.088963779599862,9.749882708014075,7.467363933195157,9.494409612367539,7.423472016876628,4.472606418411006,3,2,1.2929062683860344,1.2643807808165068,1.2700969687682224,1.2632005964553932,1.0417659390351042,1.0921499269732313,1.130220074486977,1.006849113873601,1.0397369559622511,1.158854981990338,1.138591265608511,0.9777143623408427,1.1149761350729592,1.3162509293001943,1.4079588223405288,1.031431307468293
413,413,13.674925598443954,13.530327274917473,13.697089020890212,13.789836933952555,10.83358302160807,8.243791444742492,8.556733682041669,7.829332614831332,7.089550668133941,5.268123218699924,5.762359973719746,9.616385716060387,8.087553800545226,12.448598851567654,10.419691068047769,4.343802715590192,10.709758049431352,10.84551307714751,10.962013286908398,11.014102282636303,9.95984404811074,7.299368954100952,7.34668762228593,7.357164242696161,6.530225523317872,4.351260918195372,4.8761733004817325,9.91959246587414,6.863703058512532,9.057413829929423,6.9741098006293285,4.040134945375518,3,2,1.2768659698311338,1.2475506855850935,1.2495048730919012,1.2520164222273646,1.087726170136476,1.1293841284883868,1.1647063441332535,1.0641780387876913,1.0856517348166388,1.210711864386383,1.1817381414951893,0.969433547713088,1.1783076469945541,1.3744098575282448,1.4940532004683262,1.075162779045849
414,414,13.891105697042791,13.70313889991384,13.877265348376485,13.984615701164346,10.99418088435966,8.796330042293576,8.789503199443608,8.312773904192799,7.486266234684898,5.354344887412871,6.172967069622517,11.841996177284967,10.27448828637466,13.071908108409838,10.920860139632671,4.801532006911486,10.823823287648619,10.948430687012346,11.060625263482985,11.204917750668717,12.710530784217214,8.581618587686828,8.398186258099742,8.097489537514813,8.46128046699085,5.247316464117763,6.075904421046629,11.020015530675499,10.241315072507195,9.687450702671873,7.761320581846832,5.0897753764861084,3,2,1.28338252832475,1.2516075857491875,1.2546546888441044,1.2480783895383556,0.8649663079382364,1.0250199251356642,1.0465954111182585,1.0265865569421975,0.8847675318044735,1.0203967921559507,1.0159750124178497,1.0745897902159383,1.0032391556780162,1.3493651229424586,1.4070878820771524,0.9433681551240439
416,416,13.948582524381251,13.59243676121899,13.76371414017648,13.876288202517747,10.466891843359758,8.114667257314322,8.446798537067275,7.780293796493669,6.864841982828126,5.513912299333674,6.092838126119361,11.895857378766387,8.160179208847444,13.733586281212533,10.609401802183443,4.835503630967431,10.604096384401863,10.832232004278312,10.898463626505917,11.042945887577911,11.043438429594794,7.1845914303691805,7.256831580322013,6.847256300876838,6.9887970874403385,4.236412724095973,5.1327056690331165,10.858833061231381,7.608390940280825,10.53127062708034,7.425990270564648,3.979542337820967,3,2,1.3153956752881812,1.2548140360962083,1.2629040763784403,1.256574861797252,0.947792837356708,1.1294542405033252,1.1639788582074906,1.1362644327330567,0.9822637425208733,1.301552199570053,1.1870616627949195,1.0955005304609966,1.072523648284857,1.3040768552559734,1.4286851201835389,1.2150903848946493
417,417,13.877938476088396,13.594943944432135,13.753741102069457,13.917190452607002,11.452153081845369,8.083220183034435,8.416296291377138,7.929536693089235,7.011608380349392,5.16350535022153,5.877122042207688,10.955135929929497,9.956418397004157,12.713159062378109,11.001115297697286,4.657212249274669,10.007193289765787,9.995312512697073,10.107364778115286,10.276198660861875,13.05003359389435,7.920741405108713,7.465668696907148,7.174406203815637,8.448190403444325,4.169394456764642,5.401493243160588,10.536545912981603,9.715154037452525,8.614811096160514,6.949862001298686,3.7699307031754974,3,2,1.3867962848565305,1.3601319545699488,1.3607642945517702,1.3543130988321856,0.8775573640824517,1.0205130769476864,1.1273332146206558,1.1052533781641734,0.8299538771629438,1.2384305212100983,1.0880550576730508,1.0397274420293816,1.0248338172119087,1.4757327723696885,1.5829257178979328,1.2353575213867445
421,421,13.592045984209385,13.236368681575275,13.395218569458955,13.672546760136294,13.495538880617506,8.47779389780435,8.302994348008205,8.008945101566885,8.348835255805085,5.6264689700571635,5.744118245218236,10.845720377574393,10.800005740688153,12.086014080033875,9.912673322286851,4.6564142869605485,9.782702111675711,9.820044089712182,9.860383947713448,10.19052891442742,13.462772658983365,7.720930106442768,6.978101608602313,6.740883921985335,8.700907395632381,3.6351232186107936,4.627249420586334,9.924772232427484,10.090300762728344,8.48211581820769,6.503959117523541,3.731239693298158,3,2,1.3893958774424093,1.3478929993239188,1.3584885376157396,1.341691572140004,1.0024338390362908,1.098027540843818,1.189864351899465,1.188114970418906,0.9595361582627546,1.5478069467497684,1.2413677593567845,1.0927928745949322,1.0703353640935387,1.4248819916004996,1.5240983442806784,1.2479536748400637
424,424,13.652780399133173,13.179376269691286,13.423909473750564,13.716914091691251,11.272663976111328,7.867430414740063,8.325335615814351,7.900442449280142,7.369422366119091,5.73018977632755,5.5764161865043125,10.204642275723607,8.06844713908661,11.719599804216704,9.033239857371477,4.451923731157327,10.859656692127214,10.58542650236694,10.61075153435807,10.944111400641903,10.534160792390217,7.081258923918061,7.187852222266619,7.332359959896943,7.04125651243153,4.459185074921382,4.603582247297323,10.15199217374733,7.43933537406676,8.86302227828781,6.303882064084259,3.7401825252017673,3,2,1.257201842212089,1.245049150050244,1.2651233449660346,1.2533602399996326,1.0701055545169387,1.1110214298430163,1.1582508040474209,1.0774760776189694,1.0466061495001886,1.2850307130229568,1.2113210727967598,1.0051861842557788,1.0845655872986866,1.3223028709886915,1.4329646026910088,1.190295848173122
425,425,13.658397186748367,13.278940774858302,13.428358462718618,13.689260028577655,13.424210242429465,8.449903487205635,8.372698484428215,7.874724878396082,8.418462949134518,5.710293409427291,5.773144317501523,10.484026281023953,10.732547530763565,12.063022658592017,9.927941086854428,4.663801689367577,10.573899276154258,10.578473629979742,10.69892730853989,10.938799270825713,13.44081398749902,7.780100089097464,7.218642975595942,6.825578450560688,8.524583483163271,3.912442285807255,4.869857975373441,9.29918397082886,10.185851838380794,8.952016540975388,6.9374389789454165,3.4065650304486077,3,2,1.2917086526018002,1.255279470303291,1.2551125991855365,1.2514408290759615,0.998764677118142,1.0860918741966819,1.159871531634656,1.153708060852954,0.9875512352904574,1.4595214426911565,1.185485151044639,1.1274135788593806,1.053672064060739,1.3475201484913322,1.4310671584982515,1.3690628676339711
